000000,-1,2,877,77,201,0,-1,-1,-1
000000,-1,11,972,78,110,0,-1,-1,-1
000000,-1,48,737,149,156,1,-1,-1,-1
000000,-1,240,584,233,184,1,-1,-1,-1
000000,-1,279,871,130,213,1,-1,-1,-1
000000,-1,338,878,117,187,0,-1,-1,-1
000000,-1,459,449,342,312,1,-1,-1,-1
000000,-1,568,655,355,396,1,-1,-1,-1
000000,-1,837,520,58,97,1,-1,-1,-1
000000,-1,1161,744,107,143,0,-1,-1,-1
000001,-1,6,680,72,119,1,-1,-1,-1
000001,-1,151,687,156,178,1,-1,-1,-1
000001,-1,195,947,155,132,1,-1,-1,-1
000001,-1,329,572,96,147,1,-1,-1,-1
000001,-1,421,412,394,381,1,-1,-1,-1
000001,-1,566,654,360,397,1,-1,-1,-1
000001,-1,816,423,94,79,0,-1,-1,-1
000001,-1,823,515,67,111,1,-1,-1,-1
000001,-1,892,415,181,65,0,-1,-1,-1
000001,-1,1161,744,110,144,1,-1,-1,-1
000002,-1,1,742,135,303,1,-1,-1,-1
000002,-1,3,682,79,111,0,-1,-1,-1
000002,-1,39,612,134,134,0,-1,-1,-1
000002,-1,243,653,124,151,1,-1,-1,-1
000002,-1,344,447,462,330,1,-1,-1,-1
000002,-1,556,657,346,383,1,-1,-1,-1
000002,-1,804,524,78,106,1,-1,-1,-1
000002,-1,844,402,252,99,0,-1,-1,-1
000002,-1,1160,742,110,146,1,-1,-1,-1
000003,-1,1,691,256,330,1,-1,-1,-1
000003,-1,34,582,159,138,0,-1,-1,-1
000003,-1,324,461,444,358,1,-1,-1,-1
000003,-1,555,661,347,374,1,-1,-1,-1
000003,-1,787,529,86,115,1,-1,-1,-1
000003,-1,1160,742,107,145,0,-1,-1,-1
000004,-1,-3,658,258,277,1,-1,-1,-1
000004,-1,230,380,573,504,1,-1,-1,-1
000004,-1,558,658,344,372,1,-1,-1,-1
000004,-1,751,531,115,116,1,-1,-1,-1
000004,-1,1160,741,108,148,1,-1,-1,-1
